country,animal,species,live_weight,carcass_weight
Algeria,bovins,Cattle,319.0,166.0
Algeria,ovins,Sheep,32.0,16.0
Algeria,caprins,Goat,20.0,10.0
Algeria,porcins,Pigs,60.0,40.0
Algeria,poules,Chickens,1.3,1.0
Algeria,dindons,Turkeys,6.7,5.0
Algeria,chevaux,Horses,259.0,129.0
Algeria,chameaux,Camels,459.0,173.0
Algeria,lapins,Rabbits,1.6,1.0
Angola,bovins,Cattle,300.0,150.0
Angola,ovins,Sheep,33.0,15.0
Angola,caprins,Goat,33.0,15.0
Angola,porcins,Pigs,81.0,65.0
Angola,poules,Chickens,1.2,0.9
Benin,bovins,Cattle,220.0,110.0
Benin,ovins,Sheep,20.0,10.0
Benin,caprins,Goat,20.0,10.0
Benin,porcins,Pigs,40.0,28.0
Benin,poules,Chickens,1.1,0.8
Botswana,cattle,Cattle,350.0,185.0
Botswana,sheep,Sheep,24.0,14.0
Botswana,goats,Goats,22.0,12.0
Botswana,pigs,Pigs,67.0,50.0
Botswana,chickens,Chickens,1.1,0.8
Botswana,rabbits,Rabbits,2.5,1.8
Burkina Faso,bovins,Cattle,220.0,110.0
Burkina Faso,ovins,Sheep,18.0,9.0
Burkina Faso,caprins,Goat,16.0,8.1
Burkina Faso,porcins,Pigs,34.0,23.0
Burkina Faso,poules,Chickens,1.1,0.8
Burkina Faso,chevaux,Horses,305.0,152.0
Burkina Faso,chameaux,Camels,383.0,191.0
Burundi,bovins,Cattle,250.0,130.0
Burundi,ovins,Sheep,25.0,12.0
Burundi,caprins,Goat,20.0,10.0
Burundi,porcins,Pigs,53.0,40.0
Burundi,poules,Chickens,1.2,0.9
Burundi,lapins,Rabbits,1.8,1.2
Cameroon,bovins,Cattle,300.0,140.0
Cameroon,ovins,Sheep,24.0,12.0
Cameroon,caprins,Goat,20.0,10.0
Cameroon,porcins,Pigs,45.0,30.0
Cameroon,poules,Chickens,1.1,0.8
Cameroon,chevaux,Horses,260.0,130.0
Cameroon,lapins,Rabbits,2.0,1.0
Central African Republic,bovins,Cattle,280.0,180.0
Central African Republic,ovins,Sheep,30.0,15.0
Central African Republic,caprins,Goat,34.0,17.0
Central African Republic,porcins,Pigs,60.0,55.0
Central African Republic,poules,Chickens,2.0,1.1
Chad,bovins,Cattle,283.0,141.0
Chad,ovins,Sheep,40.0,18.0
Chad,caprins,Goat,26.0,13.0
Chad,porcins,Pigs,35.0,25.0
Chad,poules,Chickens,1.0,0.7
Chad,chevaux,Horses,210.0,100.0
Chad,chameaux,Camels,360.0,180.0
Comoros,bovins,Cattle,220.0,110.0
Comoros,ovins,Sheep,30.0,15.0
Comoros,caprins,Goat,21.0,10.0
Comoros,poules,Chickens,1.1,0.8
Congo,bovins,Cattle,312.0,156.0
Congo,ovins,Sheep,22.0,10.0
Congo,caprins,Goat,20.0,9.0
Congo,porcins,Pigs,80.0,56.0
Congo,poules,Chickens,1.2,1.0
Cte d'Ivoire,bovins,Cattle,274.0,137.0
Cte d'Ivoire,ovins,Sheep,20.0,10.0
Cte d'Ivoire,caprins,Goat,20.0,10.0
Cte d'Ivoire,porcins,Pigs,62.0,50.0
Cte d'Ivoire,poules,Chickens,1.3,1.1
Djibouti,bovins,Cattle,240.0,110.0
Djibouti,ovins,Sheep,21.0,10.0
Djibouti,caprins,Goat,27.0,12.0
Djibouti,chameaux,Camels,340.0,150.0
Egypt,cattle,Cattle,247.0,150.0
Egypt,buffaloes,Buffaloes,285.0,136.0
Egypt,sheep,Sheep,54.0,24.0
Egypt,goats,Goats,38.0,18.0
Egypt,pigs,Pigs,55.0,43.0
Egypt,chickens,Chickens,1.34,1.082
Egypt,turkeys,Turkeys,6.7,5.0
Egypt,camels,Camels,584.0,279.0
Egypt,rabbits,Rabbits,1.8,1.2
Eritrea,cattle,Cattle,213.0,106.0
Eritrea,sheep,Sheep,21.0,9.8
Eritrea,goats,Goats,18.0,8.4
Eritrea,chickens,Chickens,1.224,0.78
